word, absfrequency, relfrequency
brass,14,0.03
break,14,0.03
chain,14,0.03
chaw,14,0.03
crying,14,0.03
deal,14,0.03
dis,14,0.03
drownded,14,0.03
except,14,0.03
fault,14,0.03
forty,14,0.03
friends,14,0.03
handy,14,0.03
held,14,0.03
hurry,14,0.03
inside,14,0.03
k,14,0.03
kin,14,0.03
kinds,14,0.03
knees,14,0.03
laughed,14,0.03
law,14,0.03
lawyer,14,0.03
le,14,0.03
letters,14,0.03
lie,14,0.03
lose,14,0.03
mostly,14,0.03
nine,14,0.03
nuther,14,0.03
orleans,14,0.03
played,14,0.03
quit,14,0.03
slip,14,0.03
straw,14,0.03
takes,14,0.03
thatcher,14,0.03
walk,14,0.03
_him_,13,0.02
alive,13,0.02
archive,13,0.02
arm,13,0.02
beat,13,0.02
blamed,13,0.02
borrow,13,0.02
bother,13,0.02
breath,13,0.02
count,13,0.02
cussing,13,0.02
dasn,13,0.02
dream,13,0.02
flung,13,0.02
fooling,13,0.02
heah,13,0.02
honey,13,0.02
hot,13,0.02
hungry,13,0.02
hunted,13,0.02
job,13,0.02
know;,13,0.02
laws,13,0.02
learn,13,0.02
leaves,13,0.02
liked,13,0.02
literary,13,0.02
lonesome,13,0.02
missed,13,0.02
opened,13,0.02
org,13,0.02
ornery,13,0.02
paddled,13,0.02
play,13,0.02
please,13,0.02
pray,13,0.02
property,13,0.02
public,13,0.02
raise,13,0.02
remember,13,0.02
save,13,0.02
sheet,13,0.02
short,13,0.02
since,13,0.02
smoke,13,0.02
snake,13,0.02
soft,13,0.02
that;,13,0.02
there;,13,0.02
tie,13,0.02
tight,13,0.02
twice,13,0.02
understand,13,0.02
uneasy,13,0.02
wants,13,0.02
watched,13,0.02
witches,13,0.02
wrong,13,0.02
you;,13,0.02
_do_,12,0.02
_got_,12,0.02
_now_,12,0.02
afeard,12,0.02
breast,12,0.02
cairo,12,0.02
child,12,0.02
cool,12,0.02
copy,12,0.02
drop,12,0.02
england,12,0.02
even,12,0.02
fence,12,0.02
fo,12,0.02
funeral,12,0.02
gimme,12,0.02
govment,12,0.02
grindstone,12,0.02
huckleberry,12,0.02
jest,12,0.02
kinder,12,0.02
lady,12,0.02
listen,12,0.02
months,12,0.02
no;,12,0.02
notion,12,0.02
paddle,12,0.02
past,12,0.02
picture,12,0.02
putting,12,0.02
rock,12,0.02
school,12,0.02
signs,12,0.02
st,12,0.02
stranger,12,0.02
style,12,0.02
sweet,12,0.02
taking,12,0.02
track,12,0.02
twenty,12,0.02
un,12,0.02
wake,12,0.02
was;,12,0.02
way;,12,0.02
wilks,12,0.02
_me_,11,0.02
bound,11,0.02
buy,11,0.02
candles,11,0.02
cellar,11,0.02
cow,11,0.02
dressed,11,0.02
early,11,0.02
fairly,11,0.02
fifty,11,0.02
fine,11,0.02
fish,11,0.02
fun,11,0.02
general,11,0.02
generly,11,0.02
gentlemen,11,0.02
gracious,11,0.02
gray,11,0.02
houses,11,0.02
jackson,11,0.02
jist,11,0.02
lid,11,0.02
lightning-rod,11,0.02
looks,11,0.02
names,11,0.02
need,11,0.02
now;,11,0.02
out;,11,0.02
paragraph,11,0.02
po,11,0.02
pocket,11,0.02
pull,11,0.02
pulled,11,0.02
reward,11,0.02
rip,11,0.02
sah,11,0.02
seven,11,0.02
slide,11,0.02
stretched,11,0.02
tearing,11,0.02
tracks,11,0.02
trademark,11,0.02
truth,11,0.02
tuck,11,0.02
united,11,0.02
watching,11,0.02
whenever,11,0.02
wind,11,0.02
y,11,0.02
yer,11,0.02
access,10,0.02
air,10,0.02
beginning,10,0.02
believed,10,0.02
blanket,10,0.02
bob,10,0.02
brothers,10,0.02
cave,10,0.02
cavern,10,0.02
change,10,0.02
circus,10,0.02
come;,10,0.02
cost,10,0.02
crawled,10,0.02
crossed,10,0.02
cry,10,0.02
d_,10,0.02
dozen,10,0.02
edge,10,0.02
eight,10,0.02
either,10,0.02
fellow,10,0.02
float,10,0.02
forth,10,0.02
glory,10,0.02
great,10,0.02
hare-lip,10,0.02
hope,10,0.02
i;,10,0.02
in;,10,0.02
including,10,0.02
key,10,0.02
lights,10,0.02
lovely,10,0.02
mad,10,0.02
midnight,10,0.02
moon,10,0.02
nation,10,0.02
near,10,0.02
oars,10,0.02
pa,10,0.02
paid,10,0.02
pens,10,0.02
pick,10,0.02
pictures,10,0.02
plain,10,0.02
polly,10,0.02
questions,10,0.02
r,10,0.02
refund,10,0.02
rolled,10,0.02
rough,10,0.02
ruther,10,0.02
seeing,10,0.02
sent,10,0.02
shed,10,0.02
sing,10,0.02
slept,10,0.02
small,10,0.02
stead,10,0.02
streak,10,0.02
tear,10,0.02
thirty,10,0.02
to;,10,0.02
touch,10,0.02
toward,10,0.02
troubles,10,0.02
uncles,10,0.02
up-stairs,10,0.02
watermelon,10,0.02
weather,10,0.02
whatever,10,0.02
wisht,10,0.02
_ain,9,0.02
_all_,9,0.02
_this_,9,0.02
_want_,9,0.02
agree,9,0.02
alas,9,0.02
all;,9,0.02
already,9,0.02
auction,9,0.02
begged,9,0.02
betwixt,9,0.02
bilgewater,9,0.02
camp-fire,9,0.02
captain,9,0.02
certain,9,0.02
chap,9,0.02
charge,9,0.02
chop,9,0.02
counted,9,0.02
crept,9,0.02
curtain,9,0.02
daytime,9,0.02
dirt,9,0.02
dollar,9,0.02
dreadful,9,0.02
dry,9,0.02
dug,9,0.02
fellows,9,0.02
ferryboat,9,0.02
