word, absfrequency, relfrequency
charges,1,0.02
charitable,1,0.02
charities,1,0.02
chased,1,0.02
checked,1,0.02
checks,1,0.02
cheer,1,0.02
cheeriness,1,0.02
chief,1,0.02
children,1,0.02
chips,1,0.02
choice,1,0.02
choke;,1,0.02
choose,1,0.02
chow-ch-chow-chow,1,0.02
chow-ow-ow,1,0.02
circle;,1,0.02
circles,1,0.02
circles--for,1,0.02
circumstance--for,1,0.02
circumstances,1,0.02
circumstantial,1,0.02
citified,1,0.02
city,1,0.02
claim,1,0.02
clasped,1,0.02
clearly,1,0.02
climbing,1,0.02
clock,1,0.02
clodding,1,0.02
close,1,0.02
close-buttoned,1,0.02
cloth,1,0.02
clouds,1,0.02
coated,1,0.02
coats,1,0.02
codes,1,0.02
coldly,1,0.02
collect,1,0.02
colored,1,0.02
combination,1,0.02
come--out,1,0.02
comfort,1,0.02
comforted,1,0.02
commanders,1,0.02
commercial,1,0.02
committed,1,0.02
companies,1,0.02
compared,1,0.02
compilation,1,0.02
compliment,1,0.02
composite,1,0.02
comprehended,1,0.02
compressed,1,0.02
concerned,1,0.02
condescend,1,0.02
conduct,1,0.02
conducted,1,0.02
confessed,1,0.02
confession,1,0.02
confirmation,1,0.02
confirmed,1,0.02
conflict,1,0.02
confound,1,0.02
confusion,1,0.02
consciousness,1,0.02
consent;,1,0.02
consequential,1,0.02
consisted,1,0.02
constant,1,0.02
constituted,1,0.02
constructing,1,0.02
construed,1,0.02
contact;,1,0.02
containing,1,0.02
contemplate,1,0.02
content,1,0.02
continent,1,0.02
continued,1,0.02
contract,1,0.02
controlled,1,0.02
convert,1,0.02
coppers,1,0.02
core,1,0.02
corporation,1,0.02
corrupt,1,0.02
counted,1,0.02
countries,1,0.02
couple,1,0.02
cousin,1,0.02
covered,1,0.02
covet,1,0.02
cow-stable,1,0.02
coward,1,0.02
creation,1,0.02
creature,1,0.02
credit,1,0.02
cried,1,0.02
critical,1,0.02
crowd,1,0.02
crowded,1,0.02
crying--mainly,1,0.02
cunning,1,0.02
curiosity,1,0.02
curls,1,0.02
current,1,0.02
curse,1,0.02
curtain,1,0.02
cut,1,0.02
daily,1,0.02
daintily,1,0.02
dainty,1,0.02
damaged,1,0.02
damaging,1,0.02
damp,1,0.02
danced,1,0.02
dander,1,0.02
dangerous,1,0.02
dangled,1,0.02
daring,1,0.02
dat,1,0.02
data,1,0.02
date:,1,0.02
death,1,0.02
death-damps,1,0.02
decanter,1,0.02
declined,1,0.02
deductible,1,0.02
deed,1,0.02
deep--for,1,0.02
deep-toned,1,0.02
defects,1,0.02
delectable,1,0.02
deletions,1,0.02
delicious,1,0.02
delight,1,0.02
deluge,1,0.02
demand,1,0.02
departed,1,0.02
depends,1,0.02
derision,1,0.02
derive,1,0.02
derived,1,0.02
describe,1,0.02
described,1,0.02
describing,1,0.02
desolate,1,0.02
desperate--,1,0.02
despite,1,0.02
detach,1,0.02
determine,1,0.02
devices,1,0.02
devised,1,0.02
die,1,0.02
die--out,1,0.02
different,1,0.02
difficult,1,0.02
dilapidated,1,0.02
diligence,1,0.02
diluted,1,0.02
dim,1,0.02
dining-room,1,0.02
dip,1,0.02
diplomacy,1,0.02
dipped,1,0.02
direct,1,0.02
direction,1,0.02
directly,1,0.02
director,1,0.02
dirt,1,0.02
dis,1,0.02
disagreement,1,0.02
discharging,1,0.02
discipline,1,0.02
disclaim,1,0.02
disclaimers,1,0.02
discontinue,1,0.02
discordant,1,0.02
discouraged,1,0.02
discover,1,0.02
disk,1,0.02
dismal,1,0.02
display,1,0.02
displayed,1,0.02
disposing,1,0.02
distance,1,0.02
distraction;,1,0.02
distributed:,1,0.02
distributor,1,0.02
dog,1,0.02
dog--the,1,0.02
dog-collar--but,1,0.02
donation,1,0.02
donors,1,0.02
doorknob,1,0.02
doubt,1,0.02
doughnut,1,0.02
downloading,1,0.02
drawing,1,0.02
drawn,1,0.02
dreading,1,0.02
dreams,1,0.02
dreamy,1,0.02
dreary,1,0.02
drive,1,0.02
drop,1,0.02
dropped,1,0.02
drove,1,0.02
drowned,1,0.02
drowsing,1,0.02
druther,1,0.02
dry,1,0.02
dull,1,0.02
e-mail,1,0.02
ear;,1,0.02
easily,1,0.02
easy,1,0.02
edge,1,0.02
edged,1,0.02
edition,1,0.02
educational,1,0.02
effect--added,1,0.02
eggs,1,0.02
ein,1,0.02
elaborately,1,0.02
elect,1,0.02
else,1,0.02
embroidered,1,0.02
eminence,1,0.02
emotion;,1,0.02
employee,1,0.02
endowed,1,0.02
energy,1,0.02
engaged,1,0.02
engine-bells,1,0.02
engines,1,0.02
england,1,0.02
english,1,0.02
ensuring,1,0.02
entertainment,1,0.02
entire,1,0.02
er,1,0.02
errors,1,0.02
especially,1,0.02
evanescent,1,0.02
evening,1,0.02
evenings,1,0.02
exalted,1,0.02
exchange,1,0.02
exchanged,1,0.02
excitement,1,0.02
exclusion,1,0.02
executing,1,0.02
